Parsing alignment laurasiatheria_therest_nt12cp ... ... 
Length alignment: 198006
Number of taxa: 659
Taxon: equus_hemionus_kulan | Num gaps: 194944 | Missing taxon?: N | % Missing data: 98.4535822146804
Taxon: equus_hemionus_onager | Num gaps: 196624 | Missing taxon?: N | % Missing data: 99.3020413522823
Taxon: equus_kiang~ | Num gaps: 194478 | Missing taxon?: N | % Missing data: 98.218235811036
Taxon: equus_przewalskii | Num gaps: 196116 | Missing taxon?: N | % Missing data: 99.0454834701979
Taxon: equus_zebra | Num gaps: 196378 | Missing taxon?: N | % Missing data: 99.1778026928477
Taxon: equus_zebra_hartmannae | Num gaps: 195054 | Missing taxon?: N | % Missing data: 98.5091360867852
Taxon: erignathus_barbatus | Num gaps: 193860 | Missing taxon?: N | % Missing data: 97.9061240568468
Taxon: erinaceus_amurensis | Num gaps: 195814 | Missing taxon?: N | % Missing data: 98.8929628395099
Taxon: erinaceus_concolor | Num gaps: 194690 | Missing taxon?: N | % Missing data: 98.3253032736382
Taxon: erinaceus_europaeus | Num gaps: 72036 | Missing taxon?: N | % Missing data: 36.3807157358868
Taxon: erinaceus_roumanicus | Num gaps: 195808 | Missing taxon?: N | % Missing data: 98.8899326283042
Taxon: eumetopias_jubatus | Num gaps: 192716 | Missing taxon?: N | % Missing data: 97.3283637869559
Taxon: eupleres_goudotii | Num gaps: 196244 | Missing taxon?: N | % Missing data: 99.1101279759199
Taxon: euroscaptor_klossi | Num gaps: 197334 | Missing taxon?: N | % Missing data: 99.6606163449592
Taxon: euroscaptor_longirostris | Num gaps: 195434 | Missing taxon?: N | % Missing data: 98.7010494631476
Taxon: euroscaptor_malayana | Num gaps: 196076 | Missing taxon?: N | % Missing data: 99.0252820621597
Taxon: euroscaptor_mizura | Num gaps: 196556 | Missing taxon?: N | % Missing data: 99.2676989586174
Taxon: euroscaptor_parvidens | Num gaps: 195364 | Missing taxon?: N | % Missing data: 98.6656969990808
Taxon: euroscaptor_subanura | Num gaps: 197334 | Missing taxon?: N | % Missing data: 99.6606163449592
Taxon: felis_catus~ | Num gaps: 21720 | Missing taxon?: N | % Missing data: 10.9693645647102
Taxon: felis_chaus | Num gaps: 196540 | Missing taxon?: N | % Missing data: 99.2596183954022
Taxon: felis_margarita | Num gaps: 196834 | Missing taxon?: N | % Missing data: 99.4080987444825
Taxon: felis_nigripes | Num gaps: 196834 | Missing taxon?: N | % Missing data: 99.4080987444825
Taxon: felis_silvestris | Num gaps: 195754 | Missing taxon?: N | % Missing data: 98.8626607274527
Taxon: felis_silvestris_bieti | Num gaps: 195986 | Missing taxon?: N | % Missing data: 98.9798288940739
Taxon: felis_silvestris_cafra | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: felis_silvestris_lybica | Num gaps: 196834 | Missing taxon?: N | % Missing data: 99.4080987444825
Taxon: felis_silvestris_ornata | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: feroculus_feroculus | Num gaps: 197074 | Missing taxon?: N | % Missing data: 99.5293071927113
Taxon: fossa_fossana | Num gaps: 185172 | Missing taxon?: N | % Missing data: 93.5183782309627
Taxon: galemys_pyrenaicus | Num gaps: 194254 | Missing taxon?: N | % Missing data: 98.1051079260224
Taxon: galerella_nigrata | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: galerella_pulverulenta | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: galerella_sanguinea | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: galictis_cuja | Num gaps: 193530 | Missing taxon?: N | % Missing data: 97.7394624405321
Taxon: galictis_vittata | Num gaps: 195298 | Missing taxon?: N | % Missing data: 98.6323646758179
